"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15370","Checking lower panel on cart","tests.test_lower_panel","Fri Aug 15 08:02:28 UTC 2025","passed","Fri Aug 15 08:02:44 UTC 2025","TestLowerPanel > TestLowerPanelRegression","test_lower_panel","",""
"","893","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:01:04 UTC 2025","passed","Fri Aug 15 08:01:05 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","1504","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:58:39 UTC 2025","passed","Fri Aug 15 07:58:40 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","2406","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:24 UTC 2025","passed","Fri Aug 15 08:03:26 UTC 2025","TestNavbar","test_navbar","",""
"","3357","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 07:59:47 UTC 2025","passed","Fri Aug 15 07:59:50 UTC 2025","TestChosen","test_chosen_category","",""
"","2410","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 08:03:18 UTC 2025","passed","Fri Aug 15 08:03:20 UTC 2025","TestChosen","test_chosen_category","",""
"","2054","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:58:28 UTC 2025","passed","Fri Aug 15 07:58:30 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","1384","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:57:41 UTC 2025","passed","Fri Aug 15 07:57:42 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","1286","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:59:23 UTC 2025","passed","Fri Aug 15 07:59:24 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","3903","Checking category on static pages","tests.test_category","Fri Aug 15 07:58:48 UTC 2025","passed","Fri Aug 15 07:58:52 UTC 2025","","test_category","",""
"","4211","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:06:34 UTC 2025","passed","Fri Aug 15 08:06:38 UTC 2025","TestScrollUp","test_scroll_up","",""
"","2842","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:01:53 UTC 2025","passed","Fri Aug 15 08:01:56 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","8753","Checking lower panel on signup page","tests.test_lower_panel","Fri Aug 15 08:02:04 UTC 2025","passed","Fri Aug 15 08:02:12 UTC 2025","TestLowerPanel > TestLowerPanelRegression","test_lower_panel","",""
"","1890","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 07:59:31 UTC 2025","passed","Fri Aug 15 07:59:33 UTC 2025","TestChosen","test_chosen_category","",""
