"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI","0","Navbar","52","0","Navbar","0"
"0","UI","0","Chosen category","28","0","Chosen category","0"
"0","UI","0","Lower panel","50","0","Lower panel","0"
"0","UI","1","Scroll up","43","0","Scroll up","0"
"0","UI","0","Breadcrumb","36","0","Breadcrumb","0"
"0","UI","0","Chosen category","32","0","Chosen brand","0"
"0","UI","0","Authentication","2","0","Login","0"
"0","UI","0","Authentication","2","0","Signup","0"
"0","UI","1","API cases","1","0","API cases","0"
"0","UI","0","Contact us","2","0","Contact us","0"
"0","UI","2","API cases","0","0","Test cases","0"
"0","UI","0","Category","6","0","Category","0"
"0","UI","0","Brands","6","0","Brands","0"
"0","UI","0","Recommended items","2","0","Recommended items","0"
"0","UI","1","Carousel","1","0","Carousel","0"
"0","UI","0","Search products","2","0","Search products","0"
"0","UI","0","Current item","2","0","Current item","0"
